代號,日期,時長,Session type,Topic,Level,Delivery Type,Tag,Recording Availability,Programming Language,Download Video,Download Slides,Download Transcript,Resource_1,Resource_2,主題,內容,講者,標籤,下個主題1,下個主題2,下個主題3,下個主題4,下個主題5,下個主題6,下個主題7,下個主題8,下個主題9,相關1,相關2,相關3,相關4,相關5,相關6,相關7,影片,附註
DEM700,22,15 minutes,Demo,AI Development,Intermediate (200),In Seattle,Data Scientist,Not recorded,,,,,Resource,,"Discover, test and deploy models with ease with Azure AI model catalog","The emergence of new foundation models introduces complexity and uncertainty regarding the selection, application, and optimization during training and production phases. Navigate these complexities of foundation models using Azure AI's comprehensive model catalog and a user-friendly platform to benchmark, test, and fine-tune models.","Kriti Faujdar|Microsoft,Shubhi Raj|Microsoft",Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,"Multimodel, Multimodal, and Multiagen...",Accelerate your AI journey with Azure...,Using AI with App Service to deploy d...,Unleash the Potential of APIs with Az...,Learn Responsible AI Practices By Deb...,Building secure and efficient AI solu...,,This session has ended,"Kriti Faujdar
Product Manager
Microsoft
Save to backpackShubhi Raj
Product Manager, Models as a Service Azure ML/AI
Microsoft
Save to backpack"
DEM775,22,15 minutes,Demo,Windows,Advanced (300),In Seattle,,Not recorded,,,,,Resource,,Windows customization with Dev Home and more,"Dive into the world of Windows customizations tailored for developer workflows.  Starting with a vanilla Windows 11 OS, we’ll showcase how to use Dev Home to quickly discover and apply advanced Windows settings that can improve your productivity. We’ll also discuss the exciting future of Windows Customization in Dev Home and how DSC configuration can streamline and automate your system setup.","Jordi Adoumie|Microsoft,Ethan Fang|Microsoft",Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,Developer experience improvements in ...,The Latest in Windows Security for De...,"Level up your dev box, how devs at Mi...",Supercharging your React Native app f...,Optimizing the Microsoft developer ex...,Creating Seamless Cross-Device Experi...,,This session has ended,"Jordi Adoumie
Product Manager | Developer Experiences on Windows
Microsoft
Save to backpackEthan Fang
Product Manager
Microsoft
Save to backpack"
DEM712,22,15 minutes,Demo,Cloud Platform,Expert (400),In Seattle,Cloud-native,Not recorded,,,,,Resource,,Next-gen monitoring on Azure,"Join our Azure Monitor and Chaos Studio demo to get acquainted with next-gen monitoring capabilities on Azure. We demonstrate new cloud-native monitoring capabilities with Azure Monitor like advanced network monitoring and recommended alerts. After that we show how you can use fault injection and load testing in Chaos Studio to validate your application resilience. Finally, we demonstrate how you can enhance monitoring with Microsoft Copilot.","Nikhil Kaul|Microsoft,Xema Pathak|Microsoft",Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,Improve Application Resilience using ...,Unleash the Potential of APIs with Az...,Azure Boards New and Noteworthy,Azure Monitor: Observability from cod...,Building applications at hyper scale ...,What's new in Azure Monitor?,,This session has ended,"Nikhil Kaul
Program Manager 2
Microsoft
Save to backpackXema Pathak
Senior Product Manager
Microsoft
Save to backpack"
DEM753,22,15 minutes,Demo,Low-code,Advanced (300),In Seattle,Copilot,Not recorded,Power Fx,,,,Resource,More on this topic: https://aka.ms/Build24CollectionsCopilot-D365,Leverage Copilot plugins to activate your dynamics applications,Extend and customize the knowledge and capabilities of Copilot for Finance and Operations with data and business logic with low-code and pro-code plugins.,Jared Hall|Microsoft,Session Ended|Demo|In Seattle only,More on this topic,More on this topic,,,,,,,,Extending Copilot for Sales with Micr...,Extend Copilot for Sales with data & ...,Build your own copilot with Microsoft...,Revolutionize Manufacturing with Copi...,Grow your business with Copilot exten...,Build intelligent collaborative apps ...,,This session has ended,"Jared Hall
Principal Program Manager
Microsoft
Save to backpack"
DEMFP864,22,15 minutes,Demo,Developer Tools,Intermediate (200),In Seattle,Secure App Development,Not recorded,C#,,,,,Build custom GPT apps for all pl...: https://epmstempbui24epprdwestus.blob.core.windows.net/upload-container/2cdb156c-98d4-42a0-b8a9-b0d7c3f7ae2b,Learn lessons from the trenches with practical tips for API dev,"In this session, we will explore practical insights and strategies for developing robust APIs using ASP.NET Core, derived from real-world experiences in the trenches. You will gain a deeper understanding of the common challenges faced during API development and how to overcome them with ASP.NET Core's powerful features.",George Livingston|Syncfusion,Session Ended|Demo|In Seattle only,,,,,,,,,,Modern Full-Stack Web Development wit...,Demystify cloud-native development wi...,Infusing your .NET Apps with AI: Prac...,.NET API development end-to-end,EF Core 9: Evolving Data Access in .NET,Navigating the depths of API security...,,This session has ended,"George Livingston
Senior Product Manager
Syncfusion
Save to backpack"
LAB362,22,1 hour,Lab,Security,,In Seattle,,Not recorded,,,,,Resource,,Securing your Code with GitHub Advanced Security,"Get hands on with the code scanning, secret scanning, branch protection and dependency tracking functionality in GitHub Advanced Security, learning how to best protect the code in your enterprise while in the safety of the lab setting.",Brian Randell|GitHub,Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,Securing Dockerized apps in the Micro...,"Better together, build and deploy to ...",Explore advanced developer tools and ...,Navigating the depths of API security...,Bake Security into your workflow with...,Empowering Robust Engineering: Visual...,,This session has ended,"Brian Randell
Staff Developer Advocate
GitHub
Save to backpack"
LAB342,22,1 hour,Lab,Developer Tools,,In Seattle,Software Developer,Not recorded,,,,,Resource,".NET AI Collection: https://aka.ms/dotnet/ai/resources

New .NET AI Learn Modules: https://aka.ms/dotnet/ai/learn

.NET Beginner Videos: https://aka.ms/dotnet/videos",Learn how to easily integrate AI into your .NET apps,"Learn how to easily build AI-powered applications using .NET and Azure AI. In this lab we will explore Semantic Kernel and how it can be used to integrate databases in Azure, knowledge stores and leverage Azure AI Services to make building and maintaining complex workflows easy.
We will also look at how other recent .NET innovations, such as .NET Aspire, can integrate seamlessly to give you not only an optimized developer inner loop experience, but also an easily deployable solution to Azure.","Jordan Matthiesen|Microsoft,Jake Radzikowski|Microsoft",Session Ended|Lab|In Seattle only,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,Infusing your .NET Apps with AI: Prac...,Get started building Cloud Native app...,Practical End-to-End AI Development u...,.NET API development end-to-end,Power AI apps and develop rich experi...,Quickly deploy NVIDIA optimized gener...,,This session has ended,"Jordan Matthiesen
.NET + AI - Sr. Product Manager
Microsoft
Save to backpackJake Radzikowski
PRINCIPAL SOFTWARE ENG MGR
Microsoft
Save to backpack"
LAB352,22,1 hour,Lab,Low-code,,In Seattle,,Not recorded,,,,,,,Dev tools to extend Power Pages websites,"Get hands on with Power Pages development using tools like VSCode, both online & locally. Use Power Pages Copilot for accelerating Pages specific code. Understand how to work source code for your Power Pages website with tools like Power Platform CLI. Walkway with tooling and processes from inner dev loop to ALM CI/CD.","Donovan Goode|Microsoft,Charan Tadepally|Microsoft",Session Ended|Lab|In Seattle only,,,,,,,,,,Reimagine Enterprise Website building...,Understanding cloud powered developme...,"Maximize joy, minimize toil with grea...",Enable every developer to collaborate...,Accelerate DevOps & Incident Manageme...,Empowering Robust Engineering: Visual...,,This session has ended,"Donovan Goode
Senior Program Manager - Power Pages CAT
Microsoft








Save to backpackCharan Tadepally
Senior UX Researcher
Microsoft
Save to backpack"
DEM762,22,15 minutes,Demo,Security,Advanced (300),In Seattle,,Not recorded,JavaScript/TypeScript,,,,Resource,"GitHub Advanced Security Overvie...: https://github.com/features/security

GitHub Advanced Security Docs: https://docs.github.com/en/code-security/getting-started/github-security-features

GitHub Certifications: https://resources.github.com/learn/certifications/

Collection: Secure Developer Pla...: https://learn.microsoft.com/en-us/collections/qpq5hm0k2gje1k?wt.mc_id=build24_collection_azuremktg_developer",Code Scanning with GitHub Advanced Security for Azure DevOps,"Learn about the new advanced capabilities in GitHub Advanced Security for Azure DevOps Code Scanning. We will cover how to deploy and manage custom rules and queries for CodeQL, as well as integrating 3rd party tools into the Code Scanning developer experiences, giving a single pane of glass for developer security activity.",Nicolas Couraud|Microsoft,Session Ended|Demo|In Seattle only,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,,,,,Working across Azure DevOps and GitHub,Bake Security into your workflow with...,Stop Dependency Debt with GitHub Adva...,"Better together, build and deploy to ...",Explore advanced developer tools and ...,Navigating the depths of API security...,,This session has ended,"Nicolas Couraud
Product Lead - GHAzDO
Microsoft
Save to backpack"
DEM741,22,15 minutes,Demo,Developer Tools,Advanced (300),In Seattle,Visual Studio,Not recorded,,,,,Resource,,Tips & Tricks for Visual Studio and GitHub,Unlock the full potential of VS with expert tips and tricks. Learn to enhance your workflow by integrating powerful community extensions for peak efficiency,"Harshada Hole|Microsoft,Jessie Houghton|Microsoft",Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,How GitHub builds GitHub on GitHub,Enhancing VS Code extensions with Git...,What’s new in GitHub Copilot and Visu...,"Level up your dev box, how devs at Mi...",Build apps from the cloud with Micros...,Empowering Robust Engineering: Visual...,,This session has ended,"Harshada Hole
Sr. Product Manager
Microsoft
Save to backpackJessie Houghton
Product Manager
Microsoft
Save to backpack"
DEM815,22,15 minutes,Demo,Low-code,,In Seattle,,Not recorded,Power Fx,,,,Resource,,Enhance PowerApps Quality with Automated Testing via Test Engine,"In the realm of PowerApps development, ensuring application quality is not just a goal but a necessity for success. This enlightening session explores the pivotal role of the PowerApps Test Engine in revolutionizing application development through automated testing. Discover how integrating automated testing strategies can elevate your PowerApps to new heights of efficiency and reliability.",Gilles Pommier|Freelance,Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,Platform Engineering: Creating Scalab...,.NET API development end-to-end,Enable every developer to collaborate...,Leverage Azure Testing Services to bu...,Empowering Robust Engineering: Visual...,,,This session has ended,"Gilles Pommier
Consultant
Freelance
Save to backpack"
LAB371,22,1 hour,Lab,Windows,,In Seattle,,Not recorded,,,,,Resource,,"Test drive AI on Windows with DirectML, ONNX Runtime, and Olive","Join our experts in this interactive lab demonstrating how to integrate and run a Generative Arts model on a Windows device, leveraging Olive, ONNX Runtime, and DirectML. By using this power-house trio, you will learn how simple it can be to integrate and scale AI experiences across Windows.",,Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,How did we build the Next Generation...,Create Generative AI experiences usin...,Build your enterprise Generative AI a...,Building Gen-AI experiences using LLM...,Quickly deploy NVIDIA optimized gener...,Bring AI experiences to all your Wind...,,This session has ended,
LAB333,22,1 hour,Lab,Data & Analytics,,In Seattle,,Not recorded,,,,,Resource,,Integrate Azure OpenAI Service and Azure Cosmos DB for copilot apps,"Learn how to integrate Azure OpenAI Service and Azure Cosmos DB to build Generative AI Chat applications. This hands-on lab will provide practical insights into generating embeddings on user input, generating responses from an LLM, managing chat history for conversational context and build a semantic cache to enhance performance. By the end of this lab, you’ll have a comprehensive understanding of constructing an LLM pipeline, putting all these elements together to create your own AI copilot.","Justine Cocchi|Microsoft,Sajeetharan Sinnathurai|Microsoft",Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,The power of AI and Copilot for Azure...,Unlock potential on Azure with Micros...,Unleash the Potential of APIs with Az...,Take an Azure OpenAI chat application...,Power AI apps and develop rich experi...,Quickly deploy NVIDIA optimized gener...,,This session has ended,"Justine Cocchi
Program Manager
Microsoft
Save to backpackSajeetharan Sinnathurai
Principal Program Manager
Microsoft
Save to backpack"
LAB360,22,1 hour,Lab,Security,,In Seattle,,Not recorded,,,,,Resource,,Implement security through a pipeline using Azure DevOps,"Managed identities offer a secure method for controlling access to Azure resources. Azure handles these identities automatically, allowing you to verify access to services compatible with Microsoft Entra authentication. This means you don't need to embed credentials into your code, enhancing security. In Azure DevOps, managed identities can authenticate Azure resources within your self-hosted agents, simplifying access control without compromising security.",,Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,Accelerate Microsoft Azure deployment...,Secure your Intelligent Applications ...,Secure your AI application transforma...,Securing Dockerized apps in the Micro...,Explore advanced developer tools and ...,Bake Security into your workflow with...,,This session has ended,
LAB320,22,1 hour,Lab,Low-code,,In Seattle,,Not recorded,,,,,Resource,,Build your own copilot with Microsoft Copilot studio,Learn how you can build your own copilots with Microsoft Copilot Studio. In this workshop you’ll learn how Copilots can be created for use across the business. You’ll also see how you can create custom plug ins that can integrate with custom solutions. We’ll then show you how you can use Generative AI for even more intelligent responses.,,Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,Build your own copilot with Microsoft...,Shaping next-gen development: the fut...,What's new with Microsoft Copilot Studio,Building a copilot: Azure AI Studio o...,Developer’s Guide to Customizing Micr...,Build Microsoft Copilot extensions wi...,,This session has ended,
BRK248,22,45 minutes,Breakout,Windows,Advanced (300),Online,Windows AI,Recorded,,Video,Slide,Transcript,Resource,,"Use AI for ""real things"" in your Windows Apps","Why should you care about AI? Learn about what kind of problems AI can solve across the full spectrum of AI - all through demos, demos, demos. From what tech is out there and what real life problems can it solve in real apps, consideration around privacy, performance, responsible AI and more. All for the audience of an everyday Windows developer.","Nikola Metulev|Microsoft,Tetyana Sych|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,Scott and Mark learn AI,Practical End-to-End AI Development u...,Infusing your .NET Apps with AI: Prac...,Using AI with App Service to deploy d...,Power AI apps and develop rich experi...,Bring AI experiences to all your Wind...,,,"Nikola Metulev
Principal Software Engineer
Microsoft
Save to backpackTetyana Sych
Sr technical program manager
Microsoft
Save to backpack"
BRK102,22,45 minutes,Breakout,AI Development,Intermediate (200),Online,Born-in-the-cloud,Recorded,,Video,Slide,Transcript,Resource,,Unlock the potential of foundation models with MaaS,"Learn about the extraordinary successes achieved leveraging Llama2 and Mistral through Azure AI Models as a Service (MaaS). This session promises a deep look into how these organizations have deployed foundation models through MaaS to drive innovation, efficiency, and strategic decision-making. Through engaging discussions and real-world examples, attendees will glean actionable insights into how MaaS can help customers scale their GenAI applications and get to production faster.","Manoj Bableshwar|Microsoft,Sharmlla Chockalingam|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,"Multimodel, Multimodal, and Multiagen...",Building AI applications that leverag...,Operationalize AI responsibly with Az...,Launch AI applications and get to mar...,Quickly deploy NVIDIA optimized gener...,Building secure and efficient AI solu...,,,"Manoj Bableshwar
Principal Product Manager
Microsoft
Save to backpackSharmlla Chockalingam
Senior PMM
Microsoft
Save to backpack"
BRK208,22,45 minutes,Breakout,Low-code,Foundational (100),Online,Power Pages,Recorded,Power Fx,Video,Slide,Transcript,Resource,,Reimagine Enterprise Website building with Low Code using Power Pages,"Power Pages enables everyone from a low code maker to a pro developer to build websites for their business data. In this session, learn the latest and greatest enhancements of Power Pages and how customers are embracing it for their enterprise websites.","Dipti Jaiswal|Microsoft,Vinay Nalam|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,Accelerate Microsoft Azure deployment...,Secure and govern Copilot within ente...,Platform Engineering: Creating Scalab...,Enable every developer to collaborate...,Using Power Platform to accelerate fu...,Empowering Robust Engineering: Visual...,,,"Dipti Jaiswal
Partner Group Engineering Manager
Microsoft
Save to backpackVinay Nalam
Senior Product Manager
Microsoft

Save to backpack"
BRK188,22,45 minutes,Breakout,Developer Tools,Advanced (300),Online,Software Developer,Recorded,,Video,Slide,Transcript,Resource,,Platform Engineering: Creating Scalable and Resilient Systems,"Organizations have diverse application estates that lead to operations teams managing variable application stacks and complex integrations that are error-prone and difficult to re-use. This session covers platform engineering best practices so you can provide development teams with a consistent and automated experience that empowers them to ship new functionality quickly, securely, and use cloud services as efficiently as possible.","Dan Sol|Microsoft,Mark Weitzel|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,"Maximize joy, minimize toil with grea...",Adaptive cloud approach: Build and sc...,Using AI to enable code reuse at scale,Using Power Platform to accelerate fu...,De-risk app development with Azure-na...,Empowering Robust Engineering: Visual...,,,"Dan Sol
Product Mgr
Microsoft
Save to backpackMark Weitzel
Principal Architect
Microsoft
Save to backpack"
BRK226,22,45 minutes,Breakout,Security,Intermediate (200),Online,Security,Recorded,C#,Video,Slide,Transcript,Resource,,Data Security Considerations for AI Adoption,"One of the top security concerns for organizations when adopting AI solutions is data security. In this session, our experts will walk you through the best data security practices for securing the data that your AI solution is using – from it Azure Open AI, Copilot Studio to Microsoft Copilot.","Richard Diver|Microsoft Security,Joey Snow|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,Fundamentals of AI safety and security,Operationalize AI responsibly with Az...,Secure and govern Copilot within ente...,Secure your AI application transforma...,Safeguard your copilot with Azure AI,Bake Security into your workflow with...,,,"Richard Diver
Technical Story Design
Microsoft Security
Save to backpackJoey Snow
Principal Cloud Advocate Lead
Microsoft
Save to backpack"
LAB312-R1,23,1 hour,Lab,Cloud Platform,,In Seattle,,Not recorded,,,,,Resource,,Taking Azure Kubernetes out of the cloud and into your world,"Experience a hands-on lab on AKS Edge Essentials and the latest Microsoft Edge Storage solution in Kubernetes, featuring an AI-powered sample app, video inference, and computer vision. Learn to deploy, manage, and optimize AI workloads at the edge efficiently. Gain practical insights into the integration of AI with edge computing for real-world applications.",,Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,Simplifying Kubernetes deployment wit...,Adaptive cloud approach: Build and sc...,Unleash the Potential of APIs with Az...,Quickly deploy NVIDIA optimized gener...,Introducing AKS Automatic: The easies...,Cracking the code: AI workloads at sc...,,This session has ended,
LAB350-R1,23,1 hour,Lab,Copilot,,In Seattle,,Not recorded,,,,,Resource,,Building Plugins for Copilot for Microsoft 365,"In this hands-on lab you will build, deploy, and test a plugin for Microsoft 365 Copilot using a Teams message extension and the Teams Toolkit. First, you’ll test it as a Teams message extension, so you can see what it does even without Copilot. Then, you’ll run it in Copilot for Microsoft 365, where you can try various prompts using combinations of plugin and Microsoft 365 data. Don’t miss this opportunity to learn hands-on how to extend Copilot for Microsoft 365!",,Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,Build your own copilot with Microsoft...,Revolutionize Manufacturing with Copi...,Reach 320M+ users in flow of work bui...,Developer deep dive on building plugi...,Developer’s Guide to Customizing Micr...,Build Microsoft Copilot extensions wi...,,This session has ended,
BRK185,23,45 minutes,Breakout,Developer Tools,Intermediate (200),Online,Visual Studio Code,Recorded,,Video,Slide,Transcript,Resource,"Dev Box Resources: https://aka.ms/DevBox/Resources

Codespaces Quickstart: https://docs.github.com/codespaces/getting-started/quickstart

Codespaces deep-dive: https://docs.github.com/codespaces/getting-started/deep-dive",Understanding cloud powered development environments,"The cloud brings a wealth of options for development environments. No longer do you wait in line for a locked down machine to be handed to you from IT. Now you can get instant access to the latest, full powered hardware running in the cloud right next to your source code and CI/CD servers. But which is the right option for you? In this session, we will get hands-on with Microsoft Dev Box and GitHub Codespaces, and explain the benefits of these different options.","Jason Cook|Microsoft,Craig Peters|GitHub",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,,,"Level up your dev box, how devs at Mi...","Maximize joy, minimize toil with grea...",Build apps from the cloud with Micros...,"Better together, build and deploy to ...",Supercharging game dev with Microsoft...,Optimizing the Microsoft developer ex...,,,"Jason Cook
Azure Global Black Belt - Developer Experience & Platform Engineering
Microsoft
Save to backpackCraig Peters
Staff Product Manager
GitHub
Save to backpack"
BRK108,23,45 minutes,Breakout,AI Development,Advanced (300),Online,Machine Learning,Recorded,,Video,Slide,Transcript,Resource,AI Search now offers more capaci...: https://aka.ms/build-rag-scale,RAG at scale: production-ready GenAI apps with Azure AI Search,"If 2023 was the year of GenAI prototypes, 2024 is the year these apps go into production. In this session we’ll demo how Azure AI Search combines the best RAG capabilities for GenAI apps at any scale, without compromising cost or performance. We will share the latest product updates, including increased storage limits, advanced capabilities for detailed retrieval pipeline control, built-in support for content beyond text, and re-ranking improvements to boost quality of responses.",Pablo Castro|Microsoft,On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,,,,,Accessibility in the era of generativ...,Building AI applications that leverag...,Revolutionizing search and retrieval ...,Advanced RAG with Azure AI Search - t...,Revolutionizing search and retrieval ...,Build a RAG app in minutes using Lang...,,,"Pablo Castro
Distinguished Engineer
Microsoft
Save to backpack"
BRK143,23,45 minutes,Breakout,Copilot,Advanced (300),Online,Copilot,Recorded,Power Fx,Video,Slide,Transcript,Resource,"BRK148: https://aka.ms/BRK148

BRK210: https://build.microsoft.com/en-US/sessions/c0dc5cbb-8cfd-4fce-a2da-10586333584a?source=sessions

DEM728: https://aka.ms/DEM728

LAB320: https://build.microsoft.com/en-US/sessions/b14fd656-ec04-48c3-9add-2e5666f1a3f6?source=sessions

BRK203: https://aka.ms/BuildBRK203",Build your own copilot with Microsoft Copilot Studio,"From design to deployment, learn how to build your own copilot using the latest features and updates from Copilot Studio. Explore how to leverage generative AI to create engaging and intelligent AI assistants for your employees and customers.","Gary Pretty|Microsoft,Kendra Springer|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,Shaping next-gen development: the fut...,What's new with Microsoft Copilot Studio,Building a copilot: Azure AI Studio o...,Reach 320M+ users in flow of work bui...,Developer’s Guide to Customizing Micr...,Build Microsoft Copilot extensions wi...,,,"Gary Pretty
Principal Product Manager, Copilot Studio
Microsoft
Save to backpackKendra Springer
Principal Group Product Manager
Microsoft

Save to backpack"
BRK122,23,45 minutes,Breakout,Cloud Platform,Advanced (300),Online,Platform Engineering,Recorded,,Video,,Transcript,Resource,"Learn more about AKS announcemen...: https://aka.ms/aks-build24

Get started with Azure Kubernete...: https://aka.ms/aks-quickstart

Learn more about ClickHouse: https://clickhouse.com/

Assess your cloud native maturit...: https://aka.ms/cn-survey",Build Modern Apps on Kubernetes with No Kubernetes Knowledge,"Azure Kubernetes Service (AKS) is making it easier to deploy and run applications with a new mode of operation that provides optimized, ready-for-production clusters with reduced operational overhead. This session will cover the benefits of using AKS in this new mode and how it simplifies the Kubernetes experience.","Tanya Bragin|ClickHouse,Nate Ceres|Microsoft,Jorge Palma|Microsoft,Ahmed Sabbour|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,,,Leverage AKS for your enterprise plat...,Intelligent Workload Scheduling with ...,Building a connected vehicle and app ...,Build and run intelligent apps with A...,Simplifying Kubernetes deployment wit...,How to cut your Kubernetes cloud cost...,,,"Tanya Bragin
VP, Product
ClickHouse
Save to backpackNate Ceres
Azure Product Marketing
Microsoft
Save to backpackJorge Palma
Principal PM Lead
Microsoft
Save to backpackAhmed Sabbour
Senior Product Manager - Azure Kubernetes Service
Microsoft
Save to backpack"
BRK160,23,45 minutes,Breakout,Data & Analytics,Expert (400),Online,Decision Maker,Recorded,,Video,Slide,Transcript,Resource,,Accelerate insights with real-time Azure SQL data and Microsoft Fabric,"Get insights from your Azure SQL data faster by unlocking new business intelligence, artificial intelligence, and data science scenarios with Microsoft Fabric. Mirroring provides data access and ingests continuously and in near real-time by easily replicating your data from Azure SQL Database directly into Fabric’s OneLake. See demos of this new capability, which avoids complex ETL (Extract Transform Load) processes, reduces time to insights and unlocks new experiences in Microsoft Fabric.","Anna Hoffman|Microsoft,Bob Ward|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,Extend and enhance your analytics app...,Unify your data with OneLake and Micr...,Microsoft Fabric: What's new and what...,Integrating Azure AI and Microsoft Fa...,Reimagine Real-Time Intelligence with...,Power AI apps and develop rich experi...,,,"Anna Hoffman
Principal Group PM Manager
Microsoft
Save to backpackBob Ward
Principal Architect
Microsoft
Save to backpack"
BRKFP296,23,45 minutes,Breakout,Cloud Platform,Advanced (300),Online,Cloud–native application protection platform,Recorded,,Video,Slide,,,,Accelerate development and deployment of Gen AI with NVIDIA on Azure,"Developing and deploying generative AI at scale is complex and time consuming, driving demand for the latest technologies paired with high-performance accelerators. NVIDIA AI provides developers the essential tools, frameworks, and models needed to quickly take their LLMs and generative AI applications to market. This session will share and demonstrate the latest innovations from NVIDIA, specifically around NIM and Nemo microservices runnable on Microsoft Azure AI Studio to streamline the path.","Adel El Hallak|NVIDIA,Christian Gero|Microsoft",On Demand|Breakout|In Seattle + Online,,,,,,,,,,"Multimodel, Multimodal, and Multiagen...",Optimize productivity by meeting next...,Building Gen-AI experiences using LLM...,AI Everywhere– accelerate your develo...,Quickly deploy NVIDIA optimized gener...,Disrupt and Grow with Microsoft Azure AI,,,"Adel El Hallak
Senior Director - Enterprise AI Product Management
NVIDIA
Save to backpackChristian Gero
Principal PM, AI Platform
Microsoft
Save to backpack"
KEY02,22,1 hour 30 minutes,Keynote,Other,Intermediate (200),Online,Responsible AI,Recorded,,Video,,,,,Next generation AI for developers with the Microsoft Cloud,Join Scott Guthrie and leaders across Microsoft to learn how you can build the secure and responsible AI solutions of the future with the foundation of the Microsoft Cloud.,"Scott Guthrie|Microsoft,Sarah Bird|Microsoft,Eric Boyd|Microsoft,Seth Juarez|Microsoft",On Demand|Keynote|In Seattle + Online,,,,,,,,,,"Multimodel, Multimodal, and Multiagen...",Scott and Mark learn AI,Microsoft Build opening keynote,Transforming the future of startups w...,Disrupt and Grow with Microsoft Azure AI,Building secure and efficient AI solu...,,,"Scott Guthrie
Executive Vice President, Cloud+AI
Microsoft
Save to backpackSarah Bird
CPO, RESPONSIBLE AI
Microsoft













Save to backpackEric Boyd
Corporate Vice President, Engineering
Microsoft





Save to backpackSeth Juarez
Program Manager
Microsoft

Save to backpackCharles Lamanna
Corporate Vice President, Business Applications & Platforms
Microsoft


Save to backpackJohn Lambert
Corporate Vice President, Distinguished Engineer, Microsoft Security Research
Microsoft














Save to backpackJulia Liuson
President, DevDiv
Microsoft











Save to backpackArun Ulagaratchagan
Corporate Vice President, Azure Data
Microsoft
Save to backpack"
DEM706,22,15 minutes,Demo,AI Development,Intermediate (200),In Seattle,Born-in-the-cloud,Not recorded,,,,,Resource,,Multimodal use cases with GPT and Azure AI Vision,"Don’t miss our demo session on GPT-4 Turbo with Vision. See how it integrates vision embeddings into Azure AI Search, enabling multimodal information retrieval from various data sources. Learn how images and videos can be inputs or augmentations for GPT-4 queries.","AMAnirvan Mukherjee|Palantir Technologies,Charlie/Cenyu Zhang|Microsoft",Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,New multimodal vision AI models and t...,"Multimodel, Multimodal, and Multiagen...",Building AI applications that leverag...,Building Gen-AI experiences using LLM...,Give your GenAI apps a multilingual v...,Disrupt and Grow with Microsoft Azure AI,,This session has ended,"Charlie/Cenyu Zhang
Product Manager
Microsoft
Save to backpack"
DEM730,22,15 minutes,Demo,Data & Analytics,Expert (400),In Seattle,Born-in-the-cloud,Not recorded,,,,,Resource,"Build AI Apps with Azure Databas...: https://aka.ms/PGAIleaningpath

Azure Database for PostgreSQL - ...: https://learn.microsoft.com/en-us/azure/postgresql/flexible-server/generative-ai-azure-overview",Build an AI-powered app with PostgreSQL within 10 mins,This demo will show you how to develop an AI app quickly with Azure Database for PostgreSQL using the latest advanced AI capability.,,Session Ended|Demo|In Seattle only,More on this topic,More on this topic,More on this topic,,,,,,,Power the next generation of AI apps ...,The power of AI and Copilot for Azure...,Build your own advanced AI solutions ...,Using AI with App Service to deploy d...,Power AI apps and develop rich experi...,Transform applications with AI and Az...,,This session has ended,"Joshua Johnson
Principal Product Manager - Azure Database for PostgreSQL
Microsoft
Save to backpackMaxim Lukiyanov
Principal PM Manager
Microsoft
Save to backpack"
